Date,Confirmed_Cases,Deaths,Daily_CFR (%)
2025-07-30,15,2,13.333333333333334
2025-07-31,7,0,0.0
2025-08-01,12,0,0.0
2025-08-02,15,1,6.666666666666667
2025-08-03,13,1,7.6923076923076925
2025-08-04,16,0,0.0
2025-08-05,10,1,10.0
2025-08-06,7,0,0.0
2025-08-07,11,3,27.27272727272727
2025-08-08,14,1,7.142857142857142
2025-08-09,10,0,0.0
2025-08-10,32,1,3.125
2025-08-11,21,0,0.0
2025-08-12,13,1,7.6923076923076925
2025-08-13,10,3,30.0
2025-08-14,8,0,0.0
2025-08-15,17,5,29.411764705882355
2025-08-16,14,1,7.142857142857142
2025-08-17,9,0,0.0
2025-08-18,19,1,5.263157894736842
2025-08-19,14,1,7.142857142857142
2025-08-20,14,2,14.285714285714285
2025-08-21,10,2,20.0
2025-08-22,13,0,0.0
2025-08-23,6,0,0.0
2025-08-24,19,1,5.263157894736842
2025-08-25,17,2,11.76470588235294
2025-08-26,11,1,9.090909090909092
2025-08-27,12,0,0.0
2025-08-28,16,1,6.25
2025-08-29,5,0,0.0
2025-08-30,21,0,0.0
2025-08-31,7,2,28.57142857142857
2025-09-01,25,0,0.0
2025-09-02,11,1,9.090909090909092
2025-09-03,13,1,7.6923076923076925
2025-09-04,11,0,0.0
2025-09-05,10,0,0.0
2025-09-06,14,1,7.142857142857142
2025-09-07,10,0,0.0
2025-09-08,17,2,11.76470588235294
2025-09-09,17,1,5.88235294117647
2025-09-10,16,0,0.0
2025-09-11,15,0,0.0
2025-09-12,10,1,10.0
2025-09-13,8,0,0.0
2025-09-14,17,1,5.88235294117647
2025-09-15,24,3,12.5
2025-09-16,22,0,0.0
2025-09-17,23,0,0.0
2025-09-18,19,1,5.263157894736842
2025-09-19,13,1,7.6923076923076925
2025-09-20,22,1,4.545454545454546
2025-09-21,11,0,0.0
2025-09-22,26,2,7.6923076923076925
2025-09-23,22,2,9.090909090909092
2025-09-24,19,0,0.0
2025-09-25,16,2,12.5
2025-09-26,13,1,7.6923076923076925
2025-09-27,16,0,0.0
2025-09-28,13,0,0.0
2025-09-29,15,0,0.0
2025-09-30,22,0,0.0
2025-10-01,20,1,5.0
2025-10-02,15,0,0.0
2025-10-03,8,2,25.0
2025-10-04,17,0,0.0
2025-10-05,19,2,10.526315789473683
2025-10-06,20,2,10.0
2025-10-07,13,0,0.0
2025-10-08,10,1,10.0
2025-10-09,5,0,0.0
2025-10-10,8,0,0.0
2025-10-11,6,0,0.0
2025-10-12,7,1,14.285714285714285
2025-10-13,3,0,0.0
2025-10-14,8,0,0.0
2025-10-15,13,0,0.0
2025-10-16,5,0,0.0
2025-10-17,7,1,14.285714285714285
2025-10-18,7,1,14.285714285714285
2025-10-19,6,1,16.666666666666664
2025-10-20,8,1,12.5
2025-10-21,8,1,12.5
2025-10-22,2,0,0.0
2025-10-23,6,1,16.666666666666664
2025-10-24,3,0,0.0
2025-10-25,5,0,0.0
2025-10-26,8,1,12.5
2025-10-27,3,1,33.33333333333333
2025-10-28,6,1,16.666666666666664
2025-10-29,5,1,20.0
2025-10-30,6,0,0.0
2025-10-31,3,0,0.0
2025-11-01,7,0,0.0
2025-11-02,10,0,0.0
2025-11-03,8,0,0.0
2025-11-04,4,0,0.0
2025-11-05,8,1,12.5
2025-11-06,3,0,0.0
2025-11-07,5,0,0.0
2025-11-08,5,0,0.0
2025-11-09,5,0,0.0
2025-11-10,3,0,0.0
2025-11-11,4,0,0.0
2025-11-12,2,0,0.0
2025-11-13,3,0,0.0
